Alphabetic code,Currency,Numeric code,Minor unit,Entity
KWD,Kuwaiti Dinar,414,3,KUWAIT
KYD,Cayman Islands Dollar,136,2,CAYMAN ISLANDS (THE)
KZT,Tenge,398,2,KAZAKHSTAN
LAK,Kip,418,2,LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE)
LBP,Lebanese Pound,422,2,LEBANON
LKR,Sri Lanka Rupee,144,2,SRI LANKA
LRD,Liberian Dollar,430,2,LIBERIA
LSL,Loti,426,2,LESOTHO
LYD,Libyan Dinar,434,3,LIBYA
MAD,Moroccan Dirham,504,2,MOROCCO
MAD,Moroccan Dirham,504,2,WESTERN SAHARA
MDL,Moldovan Leu,498,2,MOLDOVA (THE REPUBLIC OF)
MGA,Malagasy Ariary,969,2,MADAGASCAR
MKD,Denar,807,2,MACEDONIA (THE FORMER YUGOSLAV REPUBLIC OF)
MMK,Kyat,104,2,MYANMAR
MNT,Tugrik,496,2,MONGOLIA
MOP,Pataca,446,2,MACAO
MRO,Ouguiya,478,2,MAURITANIA
MUR,Mauritius Rupee,480,2,MAURITIUS
MVR,Rufiyaa,462,2,MALDIVES
MWK,Kwacha,454,2,MALAWI
MXN,Mexican Peso,484,2,MEXICO
MXV,Mexican Unidad de Inversion (UDI),979,2,MEXICO
MYR,Malaysian Ringgit,458,2,MALAYSIA
MZN,Mozambique Metical,943,2,MOZAMBIQUE
NAD,Namibia Dollar,516,2,NAMIBIA
NGN,Naira,566,2,NIGERIA
NIO,Cordoba Oro,558,2,NICARAGUA
NOK,Norwegian Krone,578,2,BOUVET ISLAND
NOK,Norwegian Krone,578,2,NORWAY
NOK,Norwegian Krone,578,2,SVALBARD AND JAN MAYEN
NPR,Nepalese Rupee,524,2,NEPAL
NZD,New Zealand Dollar,554,2,COOK ISLANDS (THE)
NZD,New Zealand Dollar,554,2,NEW ZEALAND
NZD,New Zealand Dollar,554,2,NIUE
NZD,New Zealand Dollar,554,2,PITCAIRN
NZD,New Zealand Dollar,554,2,TOKELAU
OMR,Rial Omani,512,3,OMAN
PAB,Balboa,590,2,PANAMA
PEN,Nuevo Sol,604,2,PERU
PGK,Kina,598,2,PAPUA NEW GUINEA
PHP,Philippine Peso,608,2,PHILIPPINES (THE)
PKR,Pakistan Rupee,586,2,PAKISTAN
PLN,Zloty,985,2,POLAND
PYG,Guarani,600,0,PARAGUAY
QAR,Qatari Rial,634,2,QATAR
RON,Romanian Leu,946,2,ROMANIA
RSD,Serbian Dinar,941,2,SERBIA
RUB,Russian Ruble,643,2,RUSSIAN FEDERATION (THE)
RWF,Rwanda Franc,646,0,RWANDA
SAR,Saudi Riyal,682,2,SAUDI ARABIA
SBD,Solomon Islands Dollar,90,2,SOLOMON ISLANDS
SCR,Seychelles Rupee,690,2,SEYCHELLES
SDG,Sudanese Pound,938,2,SUDAN (THE)
SEK,Swedish Krona,752,2,SWEDEN
SGD,Singapore Dollar,702,2,SINGAPORE
SHP,Saint Helena Pound,654,2,"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA"
SLL,Leone,694,2,SIERRA LEONE
SOS,Somali Shilling,706,2,SOMALIA
SRD,Surinam Dollar,968,2,SURINAME
SSP,South Sudanese Pound,728,2,SOUTH SUDAN
STD,Dobra,678,2,SAO TOME AND PRINCIPE
SVC,El Salvador Colon,222,2,EL SALVADOR
SYP,Syrian Pound,760,2,SYRIAN ARAB REPUBLIC
SZL,Lilangeni,748,2,SWAZILAND
THB,Baht,764,2,THAILAND
TJS,Somoni,972,2,TAJIKISTAN
TMT,Turkmenistan New Manat,934,2,TURKMENISTAN
TND,Tunisian Dinar,788,3,TUNISIA
TOP,Pa’anga,776,2,TONGA
TRY,Turkish Lira,949,2,TURKEY
TTD,Trinidad and Tobago Dollar,780,2,TRINIDAD AND TOBAGO
